step,time,mid_price,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,drawdown,u_skew,u_spr,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
51,0.51,99.34631675957723,99.68125334851811,1.8531017980432494,99.68125334851811,1.8627033264095783,0.4800764183164432,-0.0,0.009601528366328865,97.81855002210854,101.54395667492768,0,1.5021641935056067,1.5021641935056067,1.2420189179887249,1.2420189179887249,0.012343376966532094,0.012343376966532094,False,False
52,0.52,99.40245411296752,99.34631675957723,1.8511017980432496,99.34631675957723,1.8607033264095785,0.4800764183164432,-0.0,0.009601528366328865,97.48561343316766,101.20702008598681,0,1.5021641935056067,1.5021641935056067,1.2445054415193861,1.2445054415193861,0.012367934975544337,0.012367934975544337,False,False
53,0.53,99.59900201517213,99.40245411296752,1.8491017980432494,99.40245411296752,1.8587033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.54375078655794,101.2611574393771,0,1.5021641935056067,1.5021641935056067,1.2469969430734726,1.2469969430734726,0.01239254153725533,0.01239254153725533,False,False
54,0.54,99.40597866272566,99.59900201517213,1.8471017980432494,99.59900201517213,1.8567033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.74229868876256,101.4557053415817,0,1.5021641935056067,1.5021641935056067,1.249493432617012,1.249493432617012,0.012417196746428494,0.012417196746428494,False,False
55,0.55,99.24170132688079,99.40597866272566,1.8451017980432494,99.40597866272566,1.8547033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.55127533631608,101.26068198913524,0,1.5021641935056067,1.5021641935056067,1.25199492013593,1.25199492013593,0.012441900698006436,0.012441900698006436,False,False
56,0.56,99.42801592945564,99.24170132688079,1.8431017980432496,99.24170132688079,1.8527033264095785,0.4800764183164432,-0.0,0.009601528366328865,97.3889980004712,101.09440465329037,0,1.5021641935056067,1.5021641935056067,1.2545014156361978,1.2545014156361978,0.012466653487112844,0.012466653487112844,False,False
57,0.5700000000000001,99.41986342422855,99.42801592945564,1.8411017980432494,99.42801592945564,1.8507033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.57731260304607,101.27871925586521,0,1.5021641935056067,1.5021641935056067,1.2570129291438188,1.2570129291438188,0.01249145520905226,0.01249145520905226,False,False
58,0.58,99.32886672816039,99.41986342422855,1.8391017980432494,99.41986342422855,1.8487033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.57116009781898,101.26856675063813,0,1.5021641935056067,1.5021641935056067,1.2595294707048144,1.2595294707048144,0.012516305959309193,0.012516305959309193,False,False
59,0.59,99.36338431170482,99.32886672816039,1.8371017980432494,99.32886672816039,1.8467033264095782,0.4800764183164432,-0.0,0.009601528366328865,97.48216340175081,101.17557005456997,0,1.5021641935056067,1.5021641935056067,1.2620510503853721,1.2620510503853721,0.012541205833550562,0.012541205833550562,False,False
60,0.6,99.33965664648284,99.36338431170482,1.8351017980432496,99.36338431170482,1.8447033264095785,0.4800764183164432,-0.0,0.009601528366328865,97.51868098529525,101.20808763811439,0,1.5021641935056067,1.5021641935056067,1.264577678271832,1.264577678271832,0.012566154927624584,0.012566154927624584,False,False
