step,time,mid_price,reservation_price,half_spread,bid,ask,inventory,cash,wealth,lambda_bid,lambda_ask,prob_bid_fill,prob_ask_fill,bid_fill,ask_fill
120,1.2,102.1570709825329,102.08339965999276,4.715101798043249,97.36829786194951,106.79850145803601,0,0.0,0.0,0.07167163213175008,0.07167163213175008,0.0007164595415246611,0.0007164595415246611,False,False
121,1.21,102.31982372052614,102.1570709825329,4.713101798043249,97.44396918448965,106.87017278057615,0,0.0,0.0,0.07181511883488749,0.07181511883488749,0.0007178933795031206,0.0007178933795031206,False,False
122,1.22,102.36670389906588,102.31982372052614,4.7111017980432495,97.6087219224829,107.03092551856939,0,0.0,0.0,0.071958892798597,0.071958892798597,0.0007193300859636986,0.0007193300859636986,False,False
123,1.23,102.33719816301782,102.36670389906588,4.70910179804325,97.65760210102263,107.07580569710913,0,0.0,0.0,0.07210295459797264,0.07210295459797264,0.0007207696666405861,0.0007207696666405861,False,False
124,1.24,102.53716301239987,102.33719816301782,4.707101798043249,97.63009636497456,107.04429996106107,0,0.0,0.0,0.07224730480926281,0.07224730480926281,0.0007222121272798532,0.0007222121272798532,False,False
125,1.25,102.83345412193167,102.53716301239987,4.70510179804325,97.83206121435663,107.24226481044312,0,0.0,0.0,0.07239194400986956,0.07239194400986956,0.0007236574736387835,0.0007236574736387835,False,False
126,1.26,102.8739153602979,102.83345412193167,4.7031017980432495,98.13035232388842,107.53655591997492,0,0.0,0.0,0.07253687277834786,0.07253687277834786,0.000725105711486318,0.000725105711486318,False,False
127,1.27,103.1397074783853,102.8739153602979,4.701101798043249,98.17281356225465,107.57501715834115,0,0.0,0.0,0.07268209169441399,0.07268209169441399,0.0007265568466026107,0.0007265568466026107,False,False
128,1.28,103.25053077865012,103.1397074783853,4.69910179804325,98.44060568034206,107.83880927642855,0,0.0,0.0,0.07282760133894482,0.07282760133894482,0.0007280108847798061,0.0007280108847798061,False,False
129,1.29,102.84982632023682,103.25053077865012,4.697101798043249,98.55342898060687,107.94763257669337,0,0.0,0.0,0.07297340229397709,0.07297340229397709,0.0007294678318211512,0.0007294678318211512,False,False
130,1.3,102.87140240910543,102.84982632023682,4.6951017980432495,98.15472452219356,107.54492811828007,0,0.0,0.0,0.07311949514271583,0.07311949514271583,0.0007309276935418829,0.0007309276935418829,False,False
131,1.31,102.6210729662842,102.87140240910543,4.69310179804325,98.17830061106218,107.56450420714867,0,0.0,0.0,0.07326588046953367,0.07326588046953367,0.0007323904757684518,0.0007323904757684518,False,False
132,1.32,102.7090002874876,102.6210729662842,4.69110179804325,97.92997116824095,107.31217476432745,0,0.0,0.0,0.07341255885997004,0.07341255885997004,0.0007338561843392988,0.0007338561843392988,False,False
133,1.33,102.42644711070912,102.7090002874876,4.689101798043249,98.01989848944434,107.39810208553085,0,0.0,0.0,0.07355953090073973,0.07355953090073973,0.0007353248251044109,0.0007353248251044109,False,False
134,1.34,102.33209190398145,102.42644711070912,4.6871017980432494,97.73934531266588,107.11354890875236,0,0.0,0.0,0.07370679717973215,0.07370679717973215,0.0007367964039252106,0.0007367964039252106,False,False
135,1.35,102.35974019039318,102.33209190398145,4.68510179804325,97.6469901059382,107.0171937020247,0,0.0,0.0,0.07385435828601052,0.07385435828601052,0.0007382709266752219,0.0007382709266752219,False,False
136,1.36,102.46575313151348,102.35974019039318,4.683101798043249,97.67663839234993,107.04284198843644,0,0.0,0.0,0.0740022148098205,0.0740022148098205,0.0007397483992392928,0.0007397483992392928,False,False
137,1.37,102.50510835084488,102.46575313151348,4.681101798043249,97.78465133347024,107.14685492955672,0,0.0,0.0,0.07415036734258944,0.07415036734258944,0.000741228827514373,0.000741228827514373,False,False
138,1.3800000000000001,102.6093418019913,102.50510835084488,4.679101798043249,97.82600655280163,107.18421014888813,0,0.0,0.0,0.07429881647692557,0.07429881647692557,0.0007427122174088474,0.0007427122174088474,False,False
