time,mid_price,inventory,cash,wealth,drawdown,reservation_price_as,half_spread_as,reservation_price_sc,half_spread_sc,u_skew,u_spr,bid,ask,bid_fill,ask_fill,reward
0.84,99.1319580670809,0,0.0,0.0,0.0,99.35131518277183,4.78710179804325,99.85131518277183,4.78710179804325,0.5,0.0,95.06421338472857,104.63841698081508,False,False,-0.0025
0.85,98.89764474131583,0,0.0,0.0,0.0,99.1319580670809,4.785101798043249,99.6319580670809,4.785101798043249,0.5,0.0,94.84685626903766,104.41705986512414,False,False,-0.0025
0.86,99.24338427019694,0,0.0,0.0,0.0,98.89764474131583,4.7831017980432495,99.39764474131583,4.7831017980432495,0.5,0.0,94.61454294327258,104.18074653935908,False,False,-0.0025
0.87,99.39885178540929,0,0.0,0.0,0.0,99.24338427019694,4.78110179804325,99.74338427019694,4.78110179804325,0.5,0.0,94.96228247215369,104.5244860682402,False,False,-0.0025
0.88,99.37208719250609,0,0.0,0.0,0.0,99.39885178540929,4.779101798043249,99.89885178540929,4.779101798043249,0.5,0.0,95.11974998736605,104.67795358345253,False,False,-0.0025
0.89,99.3188096945043,0,0.0,0.0,0.0,99.37208719250609,4.777101798043249,99.87208719250609,4.777101798043249,0.5,0.0,95.09498539446284,104.64918899054933,False,False,-0.0025
0.9,99.41311739901333,0,0.0,0.0,0.0,99.3188096945043,4.7751017980432495,99.8188096945043,4.7751017980432495,0.5,0.0,95.04370789646104,104.59391149254755,False,False,-0.0025
0.91,99.48346868069316,0,0.0,0.0,0.0,99.41311739901333,4.77310179804325,99.91311739901333,4.77310179804325,0.5,0.0,95.14001560097009,104.68621919705657,False,False,-0.0025
0.92,99.3391570739846,0,0.0,0.0,0.0,99.48346868069316,4.771101798043249,99.98346868069316,4.771101798043249,0.5,0.0,95.21236688264992,104.75457047873641,False,False,-0.0025
0.93,99.90197384663755,0,0.0,0.0,0.0,99.3391570739846,4.769101798043249,99.8391570739846,4.769101798043249,0.5,0.0,95.07005527594134,104.60825887202785,False,False,-0.0025
0.9400000000000001,99.97914315714884,0,0.0,0.0,0.0,99.90197384663755,4.7671017980432495,100.40197384663755,4.7671017980432495,0.5,0.0,95.6348720485943,105.16907564468079,False,False,-0.0025
0.9500000000000001,100.03137470053048,0,0.0,0.0,0.0,99.97914315714884,4.765101798043249,100.47914315714884,4.765101798043249,0.5,0.0,95.7140413591056,105.24424495519209,False,False,-0.0025
0.96,100.08392454555991,0,0.0,0.0,0.0,100.03137470053048,4.76310179804325,100.53137470053048,4.76310179804325,0.5,0.0,95.76827290248723,105.29447649857373,False,False,-0.0025
0.97,100.26941224187155,0,0.0,0.0,0.0,100.08392454555991,4.761101798043249,100.58392454555991,4.761101798043249,0.5,0.0,95.82282274751665,105.34502634360317,False,False,-0.0025
0.98,100.17510728038155,0,0.0,0.0,0.0,100.26941224187155,4.7591017980432495,100.76941224187155,4.7591017980432495,0.5,0.0,96.0103104438283,105.5285140399148,False,False,-0.0025
0.99,100.11667304322084,0,0.0,0.0,0.0,100.17510728038155,4.75710179804325,100.67510728038155,4.75710179804325,0.5,0.0,95.9180054823383,105.4322090784248,False,False,-0.0025
1.0,100.14718554564134,0,0.0,0.0,0.0,100.11667304322084,4.75510179804325,100.61667304322084,4.75510179804325,0.5,0.0,95.86157124517759,105.3717748412641,False,False,-0.0025
1.01,100.0998154927394,0,0.0,0.0,0.0,100.14718554564134,4.753101798043249,100.64718554564134,4.753101798043249,0.5,0.0,95.89408374759809,105.40028734368458,False,False,-0.0025
1.02,100.02543257647514,0,0.0,0.0,0.0,100.0998154927394,4.7511017980432495,100.5998154927394,4.7511017980432495,0.5,0.0,95.84871369469614,105.35091729078265,False,False,-0.0025
1.03,100.37090261930798,0,0.0,0.0,0.0,100.02543257647514,4.74910179804325,100.52543257647514,4.74910179804325,0.5,0.0,95.77633077843188,105.2745343745184,False,False,-0.0025
1.04,100.3051975746834,0,0.0,0.0,0.0,100.37090261930798,4.747101798043249,100.87090261930798,4.747101798043249,0.5,0.0,96.12380082126474,105.61800441735123,False,False,-0.0025
1.05,100.23830634021223,0,0.0,0.0,0.0,100.3051975746834,4.745101798043249,100.8051975746834,4.745101798043249,0.5,0.0,96.06009577664015,105.55029937272666,False,False,-0.0025
1.06,100.58476866129422,0,0.0,0.0,0.0,100.23830634021223,4.7431017980432495,100.73830634021223,4.7431017980432495,0.5,0.0,95.99520454216898,105.48140813825549,False,False,-0.0025
1.07,100.93355556652777,0,0.0,0.0,0.0,100.58476866129422,4.74110179804325,101.08476866129422,4.74110179804325,0.5,0.0,96.34366686325097,105.82587045933747,False,False,-0.0025
1.08,100.87424137582083,0,0.0,0.0,0.0,100.93355556652777,4.739101798043249,101.43355556652777,4.739101798043249,0.5,0.0,96.69445376848452,106.17265736457102,False,False,-0.0025
1.09,101.0721581627398,0,0.0,0.0,0.0,100.87424137582083,4.73710179804325,101.37424137582083,4.73710179804325,0.5,0.0,96.63713957777757,106.11134317386409,False,False,-0.0025
1.1,101.03402795123877,0,0.0,0.0,0.0,101.0721581627398,4.7351017980432495,101.5721581627398,4.7351017980432495,0.5,0.0,96.83705636469655,106.30725996078304,False,False,-0.0025
1.11,101.39815718276813,0,0.0,0.0,0.0,101.03402795123877,4.733101798043249,101.53402795123877,4.733101798043249,0.5,0.0,96.80092615319552,106.26712974928202,False,False,-0.0025
1.12,101.3847665481885,0,0.0,0.0,0.0,101.39815718276813,4.73110179804325,101.89815718276813,4.73110179804325,0.5,0.0,97.16705538472488,106.62925898081139,False,False,-0.0025
1.1300000000000001,101.68701223484383,0,0.0,0.0,0.0,101.3847665481885,4.729101798043249,101.8847665481885,4.729101798043249,0.5,0.0,97.15566475014525,106.61386834623174,False,False,-0.0025
1.1400000000000001,101.48426876155575,0,0.0,0.0,0.0,101.68701223484383,4.7271017980432495,102.18701223484383,4.7271017980432495,0.5,0.0,97.45991043680058,106.91411403288708,False,False,-0.0025
1.1500000000000001,101.35004070607644,0,0.0,0.0,0.0,101.48426876155575,4.72510179804325,101.98426876155575,4.72510179804325,0.5,0.0,97.2591669635125,106.70937055959901,False,False,-0.0025
1.16,101.58110311329779,0,0.0,0.0,0.0,101.35004070607644,4.72310179804325,101.85004070607644,4.72310179804325,0.5,0.0,97.1269389080332,106.57314250411969,False,False,-0.0025
1.17,101.64197645910384,0,0.0,0.0,0.0,101.58110311329779,4.721101798043249,102.08110311329779,4.721101798043249,0.5,0.0,97.36000131525454,106.80220491134104,False,False,-0.0025
1.18,101.96521839543409,0,0.0,0.0,0.0,101.64197645910384,4.7191017980432495,102.14197645910384,4.7191017980432495,0.5,0.0,97.42287466106059,106.8610782571471,False,False,-0.0025
1.19,102.08339965999276,0,0.0,0.0,0.0,101.96521839543409,4.71710179804325,102.46521839543409,4.71710179804325,0.5,0.0,97.74811659739085,107.18232019347734,False,False,-0.0025
1.2,102.1570709825329,0,0.0,0.0,0.0,102.08339965999276,4.715101798043249,102.58339965999276,4.715101798043249,0.5,0.0,97.86829786194951,107.29850145803601,False,False,-0.0025
1.21,102.31982372052614,0,0.0,0.0,0.0,102.1570709825329,4.713101798043249,102.6570709825329,4.713101798043249,0.5,0.0,97.94396918448965,107.37017278057615,False,False,-0.0025
1.22,102.36670389906588,0,0.0,0.0,0.0,102.31982372052614,4.7111017980432495,102.81982372052614,4.7111017980432495,0.5,0.0,98.1087219224829,107.53092551856939,False,False,-0.0025
1.23,102.33719816301782,0,0.0,0.0,0.0,102.36670389906588,4.70910179804325,102.86670389906588,4.70910179804325,0.5,0.0,98.15760210102263,107.57580569710913,False,False,-0.0025
1.24,102.53716301239987,0,0.0,0.0,0.0,102.33719816301782,4.707101798043249,102.83719816301782,4.707101798043249,0.5,0.0,98.13009636497456,107.54429996106107,False,False,-0.0025
1.25,102.83345412193167,0,0.0,0.0,0.0,102.53716301239987,4.70510179804325,103.03716301239987,4.70510179804325,0.5,0.0,98.33206121435663,107.74226481044312,False,False,-0.0025
1.26,102.8739153602979,0,0.0,0.0,0.0,102.83345412193167,4.7031017980432495,103.33345412193167,4.7031017980432495,0.5,0.0,98.63035232388842,108.03655591997492,False,False,-0.0025
1.27,103.1397074783853,0,0.0,0.0,0.0,102.8739153602979,4.701101798043249,103.3739153602979,4.701101798043249,0.5,0.0,98.67281356225465,108.07501715834115,False,False,-0.0025
1.28,103.25053077865012,0,0.0,0.0,0.0,103.1397074783853,4.69910179804325,103.6397074783853,4.69910179804325,0.5,0.0,98.94060568034206,108.33880927642855,False,False,-0.0025
