n_runs,mean_final_wealth,std_final_wealth,mean_mean_step_pnl,mean_std_step_pnl,mean_sharpe_like,min_final_wealth,max_final_wealth,final_wealth_p05,mean_final_inventory,mean_abs_inventory,mean_inventory_std,mean_bid_fills,mean_ask_fills,mean_total_fills,mean_fill_imbalance,mean_max_drawdown,mean_mean_drawdown,max_of_max_drawdown,mean_bid_change_std,mean_ask_change_std,mean_spread_change_std,scmm_alpha_q,scmm_alpha_f,scmm_beta_q,scmm_beta_d,beats_as_sharpe,beats_as_drawdown,beats_as_inventory,accept_core
30,23.104588249569545,5.510864202019242,0.04611694261391126,0.29960596190081906,0.1539785465344342,12.698192571439193,31.93492547892113,14.524290033290207,-0.1,0.45522288755821694,0.6953568036600911,11.766666666666667,11.866666666666667,23.633333333333333,1.1666666666666667,2.2388872986979744,0.3880299394024655,4.938461866940386,0.31951953984231085,0.31972696081046376,0.011373035221179946,0.1,0.0,0.02,0.015,True,True,True,True
30,23.11425804732979,5.374841532720448,0.0461362436074447,0.29978159528244286,0.15394525054610408,12.640847134167558,30.896746253406235,14.494341211345825,-0.1,0.44950099800399207,0.6886759200124413,11.866666666666667,11.966666666666667,23.833333333333332,1.1666666666666667,2.247164839001102,0.38582969707727666,4.958219810534231,0.32094646543116384,0.32114397020933017,0.010590261777715455,0.1,0.02,0.02,0.01,True,True,True,True
30,23.10626682979571,5.482327341307069,0.046120293073444535,0.2998034236522724,0.15393503761874242,12.645862337658087,31.85657430478723,14.488314478287794,-0.1,0.45595475715236206,0.6959576219688822,11.833333333333334,11.933333333333334,23.766666666666666,1.1666666666666667,2.2437199196073565,0.3904890208887503,4.997735697721907,0.32001767164537387,0.3201891490106442,0.009998509911777066,0.1,0.0,0.02,0.0,True,True,True,True
30,23.091383784656458,5.370418677887069,0.046090586396519875,0.2998277114358006,0.15377371604413864,12.620847134167562,30.876746253406196,14.485341211345826,-0.1,0.44950099800399207,0.6886759200124413,11.866666666666667,11.966666666666667,23.833333333333332,1.1666666666666667,2.250498172334436,0.3866096334168799,4.958219810534231,0.32143171054389197,0.3216282464819607,0.01059187251065304,0.1,0.03,0.02,0.01,True,True,True,True
30,23.0472788043208,5.406326300470327,0.04600255250363435,0.29927318986684787,0.15372363863718208,12.658192571439187,30.908703558471842,14.506290033290203,-0.1,0.448769128409847,0.6880751017036499,11.8,11.9,23.7,1.1666666666666667,2.2455539653646412,0.3873943487005434,4.938461866940386,0.3204582289206161,0.3206586449744163,0.011359740297647703,0.1,0.02,0.02,0.015,True,True,True,True
30,23.048633611125855,5.377091886381066,0.046005256708834034,0.29946948635384907,0.15367765235264724,12.605862337658081,30.87263053685089,14.470314478287792,-0.1,0.44950099800399207,0.6886759200124413,11.866666666666667,11.966666666666667,23.833333333333332,1.1666666666666667,2.2514211464307348,0.38983781479597673,4.997735697721907,0.32095558030975174,0.32112545527630115,0.010006423413058702,0.1,0.02,0.02,0.0,True,True,True,True
30,23.024447458820802,5.4017007751007835,0.04595698095573015,0.29931923857491144,0.15355225226035812,12.638192571439191,30.88870355847186,14.497290033290206,-0.1,0.448769128409847,0.6880751017036499,11.8,11.9,23.7,1.1666666666666667,2.2488872986979747,0.3881924435509586,4.938461866940386,0.3209443800862336,0.32114005332088114,0.011367548941632786,0.1,0.03,0.02,0.015,True,True,True,True
30,23.025633611125837,5.3727716248208015,0.04595934852520127,0.2995155186610779,0.15350522463281752,12.585862337658085,30.852630536850853,14.461314478287793,-0.1,0.44950099800399207,0.6886759200124413,11.866666666666667,11.966666666666667,23.833333333333332,1.1666666666666667,2.2554211464307348,0.3906265889051249,4.997735697721907,0.3214406145789418,0.32160993037344454,0.01000642341305872,0.1,0.03,0.02,0.0,True,True,True,True
30,22.548337107315085,5.217959450103546,0.045006660892844476,0.2984628429967603,0.15114657498097786,13.053364614600525,30.10894312724821,13.991971978287793,-0.06666666666666667,0.43000665335994687,0.6786181502040408,12.166666666666666,12.233333333333333,24.4,1.0666666666666667,2.2047009284340406,0.4077137186549324,5.1569856977219075,0.3322896887080165,0.3324630506429846,0.01009077024389673,0.15,0.0,0.02,0.0,True,True,True,True
30,22.578578634649926,5.128802339432689,0.045067023222854136,0.2991882654290429,0.151015726250797,12.427317134167566,30.55714015574179,14.23660356134583,-0.1,0.4378576180971391,0.6821678010758758,11.9,12.0,23.9,1.1,2.253884777822978,0.4018857405674868,5.057469810534229,0.3311690731849861,0.331606084859641,0.022191283074791457,0.15,0.0,0.05,0.01,True,True,True,True
